logS,smiles
-3.0,CCC1(C2=CCCCCC2)C(=O)NC(=O)NC1=O
-3.01,CCCCCCCCCO
-3.01,CN(C)C(=O)N[C@H]1C[C@@H]2C[C@H]1[C@H]1CCC[C@H]21
-3.01,C#CCCCCC
-3.02,CCCCc1c(C)nc(NCC)nc1O
-3.03,CCN(CC)c1ccccc1
-3.04,CC(C)Cc1ccc([C@@H](C)C(=O)NO)cc1
-3.04,CCNc1nc(NC(C)C)nc(SC)n1
-3.05,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
-3.05,CCCCNC(=O)NS(=O)(=O)c1ccccc1
-3.05,Clc1ccccc1Cl
-3.07,C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccccc12
-3.07,CCCCCBr
-3.08,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
-3.09,C=C[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccccc12
-3.09,CC1=C2[C@H]3OC(=O)[C@@H](C)[C@@H]3CC[C@]2(C)C=CC1=O
-3.11,CCc1ccc(C)cc1
-3.11,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@]2(C)[C@@H]1CC[C@]2(O)C(=O)CO
-3.12,CCCCCCCl
-3.12,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)(O)[C@H]3C[C@@H]12
-3.12,CCCCN(CCCC)CCCC
-3.12,FC(F)(Cl)C(F)(F)Cl
-3.13,C=CCOC(=O)c1ccccc1C(=O)OCC=C
-3.13,C/C=C\c1ccc(OC)cc1
-3.13,Fc1ccc(I)cc1
-3.14,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3[C@@H](O)[C@@H]12
-3.14,BrC(Br)(Br)Br
-3.14,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@@H]1c2c(cc3c(c2OC)OCO3)CCN1C
-3.14,CC1=C(C(=O)Nc2ccccc2)SCCO1
-3.15,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
-3.15,O=C(Nc1ccccc1)Nc1ccccc1
-3.15,O=C(Oc1ccccc1)c1ccccc1O
-3.18,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
-3.18,Sc1nc2ccccc2s1
-3.18,CCCCC
-3.2,Cc1cccc(C)c1C
-3.21,Clc1cccc(Br)c1
-3.21,CCc1ccccc1C
-3.22,O=C(O)C(c1ccccc1)c1ccccc1
-3.22,I/C=C\I
-3.23,C=CCCCC
-3.24,Nc1ccc(Cl)c(Cl)c1
-3.24,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C
-3.25,CC(=O)Nc1ccc(I)cc1
-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl
-3.26,CCCCCOC(=O)c1ccc(N)cc1
-3.26,COC(=O)c1cc(Cl)cc(N)c1Cl
-3.27,CCCCCNCCOC(=O)c1ccc(N)cc1
-3.27,O=C(O)c1cccc(I)c1
-3.27,CC1=CCCCC1
-3.27,CC(C)c1ccccc1
-3.28,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
-3.28,CNC(=O)Oc1cccc2ccccc12
-3.3,CC1CCCC1
-3.3,Cc1occc1C(=O)Nc1ccccc1
-3.31,O=C(O)c1cc(I)cc(I)c1O
-3.31,O=C(O)c1ccc(Cl)cc1
-3.31,CCCCCCCCC(C)=O
-3.31,Cc1ccc(C)c(C)c1
-3.32,O=C1C[C@@H]2OCC=C3CN4CC[C@@]56c7ccccc7N1[C@H]5[C@H]2[C@@H]3C[C@@H]46
-3.33,N#Cc1cc(Br)c(O)c(Br)c1
-3.35,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
-3.36,c1ccc2c(c1)ccc1ncccc12
-3.36,CCC[C@H](C)C1(CC)C(=O)NC(=S)NC1=O
-3.37,C[C@@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@@]4(C)[C@H]3C[C@@H](O)[C@@]12C
-3.37,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
-3.37,C=C[C@@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12
-3.37,CCCc1ccccc1
-3.37,O[C@@](Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F
-3.39,CCCCCCCC(=O)OC
-3.39,C=C(Cl)CSC(=S)N(CC)CC
-3.39,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1
-3.4,CN(C)CC/C=C1/c2ccccc2COc2ccccc21
-3.4,C=CCCCCCCCCC(=O)O
-3.4,Cc1cc(C)cc(C)c1
-3.42,CCO[C@@H]1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C
-3.43,C[C@@]12CCC(=O)C=C1CC[C@H]1[C@H]3CC[C@](O)(C(=O)CO)[C@]3(C)C[C@H](O)[C@@]12F
-3.43,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1
-3.44,CCCCCCCCCC(=O)O
-3.46,C=CCC1([C@@H](C)CCC)C(=O)NC(=S)NC1=O
-3.48,C[C@]12CC(=O)[C@H]3[C@H](CCC4=CC(=O)CC[C@@]43C)[C@H]1CCC2=O
-3.48,CCCCOC(=O)c1ccccc1
-3.48,Oc1ccc(-c2ccccc2)cc1
-3.5,Brc1ccccc1Br
-3.51,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
-3.51,c1ccc(Nc2ccccc2)cc1
-3.52,C1CCCCCC1
-3.52,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-3.52,Cc1cccc(Br)c1
-3.52,Cc1ccccc1Cl
-3.54,O=[N+]([O-])c1cccc2ccccc12
-3.55,CCC(C)(C)C
-3.57,CCN(CC)C(=O)[C@H](C)Oc1cccc2ccccc12
-3.59,CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1
-3.59,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@@H](Cc1ccccc1)NS2(=O)=O
-3.59,Clc1ccc(Cl)c(Cl)c1
-3.59,O=C(Nc1ccccc1)c1ccccc1O
-3.6,c1ccc2ccccc2c1
-3.6,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@H]1O
-3.61,N#Cc1cc(I)c(O)c(I)c1
-3.61,CC(C)(C)C(=O)[C@H](Oc1ccc(Cl)cc1)n1cncn1
-3.63,CCCCCCCCCCO
-3.63,Clc1ccc(Br)cc1
-3.64,C[C@@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO
-3.64,C[C@@H](CCC(=O)O)[C@@H]1CC[C@H]2[C@H]3[C@@H](O)C[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C
-3.66,CNCCCN1c2ccccc2CCc2ccccc21
-3.66,C#CCCCCCC
-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
-3.67,O=C(O)CCCOc1ccc(Cl)cc1Cl
-3.68,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@@H](O)[C@@H](O)[C@@H](O)CO)c2cc1C
-3.68,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1
-3.69,C[C@@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]43C)[C@H]1C[C@@H](O)[C@]2(O)C(=O)CO
-3.69,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)C(=O)CC[C@H]12
-3.7,C[C@H](C(=O)O)c1cccc(C(=O)c2ccccc2)c1
-3.7,Nc1ccc(S(=O)(=O)Nc2cnccn2)cc1
-3.71,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1
-3.73,CCCC[C@@H]1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
-3.74,CCCC(C)C
-3.75,CCc1ccc(CC)cc1
-3.75,O=NN(c1ccccc1)c1ccccc1
-3.77,COC(=O)[C@@H](Cl)Cc1ccc(Cl)cc1
-3.77,Cc1ccc2ccccc2c1
-3.78,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N[C@H]1C
-3.79,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
-3.8,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
-3.81,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
-3.81,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
-3.81,CCCCCCBr
-3.82,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@H]3C[C@H](O)[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]21C
-3.84,CCCCOc1ccc(C(=O)OCCN(CC)CC)cc1
-3.89,CC[C@H](C)c1ccccc1
-3.93,Clc1cccc2ccccc12
-3.95,CCCCCCOC(=O)c1ccc(N)cc1
-3.95,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
-3.96,C1=Cc2cccc3cccc1c23
-3.96,C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@H]1CCC2=O
-3.97,Cc1ccnc2c1ccc1c(C)ccnc12
-3.98,N#Cc1ccc2c(c1)N(CCCN1CCC(O)CC1)c1ccccc1S2
-3.99,CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1
-4.0,CCNc1nc(NC(C)(C)C)nc(SC)n1
-4.0,C=C(C)[C@@H]1CC=C(C)CC1
-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
-4.04,CNc1cnn(-c2cccc(C(F)(F)F)c2)c(=O)c1Cl
-4.06,CCNc1nc(Cl)nc(N(CC)CC)n1
-4.08,CC(C)N(C(=O)SC/C(Cl)=C/Cl)C(C)C
-4.08,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2
-4.1,CCCCCCCCCC(=O)OCC
-4.1,CC(=O)[C@]1(O)CC[C@H]2[C@H]3C[C@@H](C)C4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
-4.11,C[C@H]1CCCC[C@@H]1NC(=O)Nc1ccccc1
-4.11,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O
-4.12,CC(C)Cc1ccccc1
-4.12,C[C@]12CC[C@H]3[C@H](CC=C4C[C@H](O)CC[C@@]43C)[C@H]1CCC2=O
-4.14,Cc1ccc(C)c2ccccc12
-4.14,Clc1ccc2ccccc2c1
-4.15,CCC(C)(C)c1ccccc1
-4.15,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
-4.16,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1
-4.16,COc1ccc2cc([C@@H](C)C(=O)O)ccc2c1
-4.16,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C
-4.16,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
-4.16,C[C@]12CC[C@H]3[C@H](CC[C@@H]4C[C@H](O)CC[C@@]34C)[C@H]1CCC2=O
-4.17,CCc1cccc2ccccc12
-4.17,c1ccc(Cc2ccccc2)cc1
-4.18,COC(=O)[C@]1(O)c2ccccc2-c2ccc(Cl)cc21
-4.19,CN(C)CCCN1c2ccccc2CCc2ccccc21
-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC
-4.19,O=CN[C@H](N1CCN([C@@H](NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl
-4.2,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
-4.21,Cc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
-4.21,O=C(Nc1ccccc1)c1ccccc1I
-4.22,COc1ccc2c(c1)N(C[C@@H](C)CN(C)C)c1ccccc1S2
-4.22,Nc1cccc2nc3ccccc3cc12
-4.23,CCOP(=S)(OCC)SCCSCC
-4.24,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1
-4.24,N#Cc1c(Cl)cccc1Cl
-4.24,C#CCCCCCCC
-4.25,CCC1CCCCC1
-4.26,CC(C)CC(C)C
-4.27,C[C@H]1CCCC[C@@H]1C
-4.29,Cc1cc(C)c2ccccc2c1
-4.3,CC(=O)OCC(=O)[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@@H]3[C@@H](O)C[C@]21C
-4.31,COc1ccc2ccc(=O)oc2c1CC=C(C)C
-4.31,CCCCCCCCCCCCCCC(=O)O
-4.31,c1ccc(-c2ccccc2)cc1
-4.33,C[C@H]1CCCC[C@@H]1C
-4.35,Brc1cccc2ccccc12
-4.35,C[C@H](CCC(=O)O)[C@@H]1CC[C@H]2[C@H]3C[C@@H](O)[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3C[C@@H](O)[C@@]21C
-4.35,CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1
-4.36,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
-4.37,CC(=O)OCC(=O)[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@H]3[C@@H](O)C[C@]21C
-4.37,O=C(Nc1cccc(Cl)c1)OCC#CCCl
-4.4,C[C@@]12CC[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@@]34C)[C@H]1CCC2=O
-4.4,Brc1ccc2ccccc2c1
-4.4,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC
-4.43,CC(=O)[C@@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@@]12C
-4.43,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
-4.44,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1
-4.44,C=CCCCCCC
-4.45,c1ccc(/N=N\c2ccccc2)cc1
-4.46,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@H]4CCC(=O)[C@@]4(C)CC[C@H]32)C1
-4.46,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
-4.47,C[C@H]1CC[C@H](C)CC1
-4.49,C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1
-4.5,Brc1ccc(Br)c(Br)c1
-4.51,Cl[C@H]1[C@@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@@H]1Cl
-4.53,CCCCCCC
-4.54,Clc1ccccc1-c1ccccc1
-4.55,CCNc1nc(Cl)nc(NCC)n1
-4.57,Clc1ccc(Cl)c(Cl)c1Cl
-4.57,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@H]4[C@H]3CC[C@]21C
-4.6,CCCCCCCOC(=O)c1ccc(N)cc1
-4.6,S=C=Nc1cccc2ccccc12
-4.6,c1ccc2c(c1)oc1ccccc12
-4.61,COC1=CC(=O)C[C@H](C)[C@@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
-4.62,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
-4.62,CCCCCCCCCCCC(=O)O
-4.63,CCCCCCCCCC(=O)OC
-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
-4.63,c1cc2c3c(cccc3c1)CC2
-4.64,CCCCCc1ccccc1
-4.66,CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C
-4.67,CCCCCCCCCCCCO
-4.69,CCCCCCCCCCCC(=O)OC
-4.7,CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
-4.7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
-4.71,CC(=O)[C@@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C
-4.71,CCCCC(=O)O[C@]1(C(=O)CO)[C@H](C)C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C
-4.74,CCCC1CCCC1
-4.74,CN1CCC[C@H](CN2c3ccccc3Sc3ccccc32)C1
-4.74,Cc1cccc2c(C)cccc12
-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-4.81,CCCCCCCI
-4.85,Cc1cccc(Oc2cccc(C)c2)c1
-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
-4.88,Clc1cccc(-c2ccccc2)c1
-4.9,CC(=O)O[C@]1(C(=O)CO)[C@H](C)C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C
-4.91,c1ccc2c(c1)Cc1ccccc1-2
-4.92,Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl
-4.92,Cc1ccc(C)c2c(C)cccc12
-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1
-4.95,C/C=C(C(=C/C)/c1ccc(O)cc1)\c1ccc(O)cc1
-4.95,CC(=O)O[C@@]1(C(C)=O)CC[C@H]2[C@H]3C=C(Cl)C4=CC(=O)C=C[C@]4(C)[C@@H]3CC[C@@]21C
-4.97,c1ccc2c(c1)[nH]c1ccccc12
-4.98,Clc1cc(Cl)c2nsnc2c1Cl
-5.01,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
-5.03,O=C1C(Cl)=C(NC(=O)C(Cl)Cl)C(=O)c2ccccc21
-5.04,Brc1cccc(Br)c1Br
-5.05,C=CCCCCCCC
-5.06,CCCCCCCCBr
-5.06,O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1
-5.09,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
-5.14,CCCCSP(=O)(SCCCC)SCCCC
-5.15,C[C@@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@@]4(C)[C@H]3C[C@@H](O)[C@@]12C
-5.17,Nc1ccc2cc3ccccc3cc2c1
-5.18,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
-5.19,COC(C)(C)CCC[C@H](C)C/C=C\C(C)=C\C(=O)OC(C)C
-5.19,O=C1c2ccccc2C(=O)c2ccccc21
-5.21,Clc1cccc(Cl)c1-c1ccccc1
-5.22,N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
-5.22,Cc1cccc2c1Cc1ccccc1-2
-5.24,CCCCCCCC
-5.25,Clc1ccc(-c2ccccc2)c(Cl)c1
-5.27,CC(=O)[C@]1(C)CC[C@H]2[C@H]3C=C(C)C4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@@]21C
-5.27,Clc1ccccc1-c1ccccc1Cl
-5.28,C[C@@]12CC[C@H]3C(=CCc4cc(O)ccc43)[C@H]1CCC2=O
-5.28,Clc1ccc(-c2ccccc2Cl)cc1
-5.3,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21
-5.31,c1ccc2c(c1)Oc1ccccc1O2
-5.33,CCCCCCCCCCCCCC(=O)O
-5.35,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]21C
-5.37,CCC(=O)O[C@@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@@]12C
-5.4,CCCCCCCCOC(=O)c1ccc(N)cc1
-5.4,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1
-5.4,O=C1[C@H]2CC=CC[C@@H]2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
-5.41,C[C@]12CC[C@@H]3[C@H](CC[C@H]4C[C@H]5S[C@@H]5C[C@@]43C)[C@H]1CC[C@@H]2O
-5.43,Clc1c(Cl)c(Cl)c2nccnc2c1Cl
-5.46,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
-5.47,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
-5.47,Cc1ccc(/N=C\N(C)/C=N\c2ccc(C)cc2C)c(C)c1
-5.51,CC(C)(C)CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@H](O)C[C@@]21C
-5.53,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
-5.54,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)/C=C\c1ccccc1
-5.64,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
-5.64,ClC1=C(Cl)[C@]2(Cl)[C@H]3CC=C[C@@H]3[C@]1(Cl)C2(Cl)Cl
-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
-5.66,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3CC[C@]21C
-5.68,CCCCCCCCCCCCCCCCCC(=O)O
-5.69,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
-6.7,C[C@]12CC[C@H]3[C@H](CC[C@H]4CCCC[C@@]34C)[C@H]1CCC2=O
-5.72,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
-5.82,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
-6.0,c1ccc2c(c1)-c1cccc3cccc-2c13
-6.01,Clc1cccc(-c2cc(Cl)ccc2Cl)c1
-6.02,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
-6.05,CCCCCCCCCCCCCCO
-6.14,Clc1cc(Cl)c(-c2ccccc2)c(Cl)c1
-6.19,c1cc2ccc3cccc4ccc(c1)c2c34
-6.2,Nc1cc2c3ccccc3ccc2c2ccccc12
-6.25,Clc1ccc(-c2cc(Cl)ccc2Cl)cc1
-6.26,Clc1ccc(-c2cccc(Cl)c2Cl)cc1
-6.27,Clc1cc(Cl)c(-c2ccccc2)cc1Cl
-6.29,ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H]([C@@H]4C[C@H]3[C@H]3O[C@H]43)[C@@]1(Cl)C2(Cl)Cl
-6.29,Clc1ccc(-c2ccccc2Cl)cc1Cl
-6.34,CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O
-6.35,c1ccc2cc3ccccc3cc2c1
-6.36,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccccc1Cl
-6.39,Clc1ccc(-c2ccccc2)cc1Cl
-6.47,Clc1ccc(Cl)c(-c2cccc(Cl)c2Cl)c1
-6.51,Clc1ccc([C@@H](c2ccccc2Cl)C(Cl)Cl)cc1
-6.56,Clc1ccc(-c2ccc(Cl)cc2)cc1
-6.57,Clc1ccc(-c2cc(Cl)ccc2Cl)c(Cl)c1
-6.57,Cc1c2ccccc2c(C)c2ccccc12
-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
-6.68,c1ccc2c(c1)Cc1c-2ccc2ccccc12
-6.74,c1ccc2c(c1)c1ccccc1c1ccccc21
-6.8,Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1
-6.89,CCc1ccc2cc3ccccc3cc2c1
-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
-6.96,Cc1ccc2cc3ccccc3cc2c1
-7.02,Cc1c2ccccc2c(C)c2c1ccc1ccccc12
-7.11,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
-7.2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
-7.21,Clc1ccccc1-c1cc(Cl)c(Cl)c(Cl)c1Cl
-7.25,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1
-7.28,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl
-7.32,C[C@H]1CC[C@]2(OC1)O[C@H]1C[C@@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@@H]4CC[C@]3(C)[C@@H]1[C@@H]2C
-7.32,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
-7.39,Clc1ccc(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
-7.39,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
-7.42,c1ccc2c(c1)ccc1c3ccc4ccccc4c3[nH]c21
-7.42,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
-7.43,Clc1ccccc1-c1c(Cl)cc(Cl)c(Cl)c1Cl
-7.66,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl
-7.68,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
-7.8,Clc1ccc(-c2ccc(Cl)c(Cl)c2)c(Cl)c1
-7.82,Clc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl
-7.92,Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl
-7.92,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl
-7.92,Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3
-8.0,c1ccc2c3c(ccc2c1)-c1cccc2cccc-3c12
-8.01,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-8.19,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
-8.23,c1ccc2c(c1)-c1cccc3c1c-2cc1ccccc13
-8.4,FC(F)(F)c1cccc(C(c2ccccc2)(c2ccccc2)n2cncn2)c1
-8.56,Clc1cc(Cl)c(-c2cc(Cl)c(Cl)cc2Cl)cc1Cl
