logS,smiles
-8.6,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-8.71,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1
-8.8,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
-8.94,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
-9.15,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-9.16,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
-11.62,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
1.13,CNC(N)=O
1.07,O=C1CCCO1
1.07,O=C1CCCN1
1.06,C1COCCN1
1.05,O[C@H]1CCOC1
1.0,CN1CCCC1=O
0.96,OCc1cccnc1
0.96,NC(N)=O
0.96,C=CC(N)=O
0.94,CN(C)C(=O)N(C)C
0.84,CN(C)C
0.79,CN1CCC[C@@H]1c1cccnc1
0.74,OC[C@@H]1O[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O
0.7,OC[C@@H](O)[C@H](O)CO
0.52,COC(C)=O
0.51,O=C(O)CC(O)(CC(=O)O)C(=O)O
0.43,CCOP(=O)(OCC)OCC
0.43,CC[C@@H](C)O
0.38,O=C(O)C(=O)O
0.38,Cc1cncc(C)c1
0.36,Cc1ccncc1C
0.32,NC(N)=S
0.3,C[C@H](O)C(F)(F)F
0.06,Cc1cnc2cncnc2n1
0.01,C=C(C)C(=O)O
0.0,CCCCO
-0.02,NC(=O)CCl
-0.04,CCOC(C)=O
-0.06,COC(C)C
-0.11,OC(CCl)CCl
-0.14,CCC(=O)OC
-0.17,Oc1ccc(O)cc1
-0.22,COP(=O)(OC)[C@@H](O)C(Cl)(Cl)Cl
-0.24,COC(C)(C)C
-0.35,NC(=O)OCc1ccccc1
-0.36,Nc1nccs1
-0.4,O=C1CNC(=O)N1
-0.4,O=C1NC(=O)C(=O)N1
-0.4,CC(C)(C)CO
-0.4,Nc1ccc(C(=O)O)cc1
-0.41,Nc1ccccc1
-0.41,CC(C)C(C)(C)O
-0.42,CCCCOCCO
-0.43,CCOC(C)OCC
-0.43,O=C(O)CCI
-0.46,CCCNCCC
-0.47,CC[C@@H](C)CO
-0.48,O=C(O)c1ccco1
-0.49,CCCC(C)(C)O
-0.52,CC(C)CCO
-0.55,CC(=O)OC(C)C
-0.55,CCOC(C)C
-0.6,CCS
-0.6,CCCCCO
-0.62,CC(C)[N+](=O)[O-]
-0.62,Cc1c(N)c(=O)n(-c2ccccc2)n1C
-0.62,Cc1ccccc1O
-0.71,S=C1NCCN1
-0.74,OCCc1ccccc1
-0.8,CCC[N+](=O)[O-]
-0.8,CC(C)C[C@H](C)O
-0.8,CCCCC(C)=O
-0.81,CCC(CC)C(=O)O
-0.82,O=C(O)CCCCC(=O)O
-0.83,O=C1CNC(=O)CN1
-0.85,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1
-0.85,Cc1ccccc1N
-0.85,CC[C@@](C)(O)C(C)C
-0.89,CC[C@H](C)C(C)(C)O
-0.89,CCCC[C@@H](C)O
-0.91,NC(=O)c1cnccn1
-0.93,O=C(O)[C@@H](CO)c1ccccc1
-0.94,C[C@H]1CCCCC1=O
-0.95,NC(=O)NCc1ccccc1
-0.95,CC(=O)N(C)c1ccccc1
-0.96,CCN(N=O)C(N)=O
-1.0,N#Cc1ccccc1
-1.01,O=[N+]([O-])c1cccc(O)c1
-1.04,CCC(C)(C)CO
-1.06,ClCCCl
-1.06,CC1=CC(=O)CC(C)(C)C1
-1.06,Oc1ccccc1Cl
-1.06,CCCCCC(=O)O
-1.1,CCCCCCN
-1.11,CCC[C@@H](C)CO
-1.12,ClCCOCCCl
-1.15,CC[C@H](O)C(C)(C)C
-1.16,O=C(O)c1cc(O)c(O)c(O)c1
-1.17,BrCBr
-1.2,Cc1cc(O)c2ccccc2n1
-1.21,Cc1ccc(N)cc1
-1.23,OC[C@H]1O[C@H](n2cnc3c(O)ncnc32)[C@@H](O)[C@H]1O
-1.24,COC(=O)c1cc(O)c(O)c(O)c1
-1.26,Cc1ncc([N+](=O)[O-])n1CCO
-1.26,Cc1cc(=O)[nH]c(=O)[nH]1
-1.28,Cc1cc(N)nc(C)n1
-1.28,CNc1ccccc1
-1.3,CCCC(=O)CCC
-1.3,Cl/C=C\Cl
-1.31,Cc1cccc(C)c1O
-1.32,Br/C=C\Br
-1.34,CCCOC(C)C
-1.35,CN/C(=N/C#N)NCCSCc1nc[nH]c1C
-1.36,C=CCCl
-1.36,Nc1ccc(S(N)(=O)=O)cc1
-1.39,O=C1OC(=O)c2ccccc21
-1.41,Cc1ccc(O)cc1C
-1.41,CC(C)Cl
-1.41,O=C(O)c1ccc(O)cc1
-1.42,CC1(C)[C@@H](C(=O)O)CC[C@]1(C)C(=O)O
-1.42,CN(C)[C@H]1C(O)=C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@@H]3C[C@H]12
-1.42,CC(=O)CC(C)C
-1.45,O=C(O)C1CCCCC1
-1.46,CCNC(=S)NCC
-1.47,CCCCCOC(N)=O
-1.47,Nc1cccc(C(F)(F)F)c1
-1.47,CCCC[C@H](O)CC
-1.48,O=c1cc[nH]c(=O)[nH]1
-1.5,C=CCBr
-1.5,c1ccc2scnc2c1
-1.5,CCC[C@H]1CCCCN1
-1.52,Nc1ccccc1Cl
-1.52,Cc1c[nH]c(=O)[nH]c1=O
-1.54,ClC(Cl)Br
-1.56,NS(=O)(=O)c1ccccc1
-1.59,CC(C)Br
-1.6,NC(=O)N[C@@H]1NC(=O)NC1=O
-1.6,CCI
-1.6,CCCC[C@](C)(O)CC
-1.6,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
-1.61,CC(=O)c1ccc(N)cc1
-1.63,CC(=O)CC(=O)C(C)(C)C
-1.64,C#CCCC
-1.66,COC(=O)NS(=O)(=O)c1ccc(N)cc1
-1.66,COC(=O)c1ccccc1C(=O)OC
-1.68,O=C(O)CNC(=O)c1ccccc1
-1.71,CCCC[C@H](CC)CN
-1.83,CCNC(=O)[C@H](C)OC(=O)Nc1ccccc1
-1.84,OC[C@H](O)[C@@H]1O[C@H]2O[C@@H](C(Cl)(Cl)Cl)O[C@H]2[C@@H]1O
-1.85,CCCCCCCN
-1.85,COC(=O)c1ccccc1
-1.85,CC1(C)C(=O)[C@]2(C)CC[C@@H]1C2
-1.85,ClCCCBr
-1.87,C=CC=C
-1.89,O=c1ccc2ccccc2o1
-1.89,O=C(O)c1ccccc1Cl
-1.91,CC(=O)Nc1ccccc1[N+](=O)[O-]
-1.92,ClCC(Cl)CCl
-1.92,Nc1cccc2ccccc12
-1.94,Cc1cc(C)c2ccccc2n1
-1.95,Nc1ncnc2c1ccn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O
-1.96,Cc1nc2ccccc2[nH]1
-1.96,COc1ccccc1O
-1.96,ClC=C(Cl)Cl
-1.97,Fc1ccc(F)cc1
-1.99,C=C[C@](C)(O)CCC=C(C)C
-1.99,N=C(N)NS(=O)(=O)c1ccc(N)cc1
-1.99,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
-2.0,CCCCCC(=O)OC
-2.0,CC(C)CCl
-2.0,Fc1cccc(F)c1
-2.03,C=CC(=C)C
-2.05,COc1cc(C(=O)O)ccc1O
-2.06,CC(C)=CCC/C(C)=C/C=O
-2.06,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
-2.07,Cc1cccc2sc3nncn3c12
-2.08,BrCCCBr
-2.08,CNC(=O)O/N=C1/[C@H]2C[C@H](C[C@@H]2C#N)[C@H]1Cl
-2.09,CCSCc1ccccc1OC(=O)NC
-2.1,COCCOc1c(OC)cc(Cc2cnc(N)nc2N)cc1OC
-2.1,C1=CCCC1
-2.11,O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl
-2.15,CCCc1cc(=O)[nH]c(=S)[nH]1
-2.15,C[C@@H](Br)CBr
-2.16,c1ccc2[nH]ncc2c1
-2.18,C=C(C)[C@H]1CC[C@@H](C)C(=O)C1
-2.18,CCCCS
-2.21,Oc1cc(Cl)c(Cl)cc1Cl
-1.99,O=C1NC(=O)C(O)(C2(O)C(=O)NC(=O)NC2=O)C(=O)N1
-2.23,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@H]2CC[C@@H]1N2C
-2.27,O=C(NC(=O)c1ccccc1)c1ccccc1
-2.27,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
-2.28,CCCN(CCC)CCC
-2.28,O=C(O)c1ccccc1-c1ccccc1C(=O)O
-2.29,O=C(O)COc1ccc(Cl)cc1
-2.29,O=c1[nH]cnc2nc[nH]c12
-2.3,BrC1CCCCC1
-2.3,Nc1ccc(Cc2ccc(N)cc2)cc1
-2.31,CCCCCC(=O)OCC
-2.33,Cc1ccccc1[N+](=O)[O-]
-2.33,CCOc1ccccc1
-2.34,CNC(=O)Oc1cccc(/N=C\N(C)C)c1
-2.36,CNC(=O)Oc1ccc(N(C)C)c(C)c1
-2.36,CC(=O)Nc1nnc(S(N)(=O)=O)s1
-2.37,Nc1ccc([N+](=O)[O-])cc1
-2.38,Fc1cc(F)c(F)cc1F
-2.39,Cc1ccsc1
-2.39,CCCCCCCCO
-2.4,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
-2.41,CC(C)(C)c1ccc(O)cc1
-2.42,Oc1cccc2cccnc12
-2.46,CCCCCCOC(C)=O
-2.49,CC(C)[C@@H]1CC[C@@H](C)CC1=O
-2.49,Cc1ccc([N+](=O)[O-])cc1
-2.51,CCC(C)(C)Cl
-2.52,O[C@H](Cc1ccccc1)c1ccccc1
-2.53,CC(C)[C@H]1CC[C@@H](C)C[C@@H]1O
-2.54,ClC(Cl)=C(Cl)Cl
-2.55,Brc1ccccc1
-2.55,OC(c1ccccc1)c1ccccc1
-2.57,CON(C)C(=O)Nc1ccc(Cl)cc1
-2.57,CC[C@H](N)Cc1c[nH]c2ccccc12
-2.57,N[C@@H](Cc1ccc(O)cc1)C(=O)O
-2.59,CCCCCCc1ccc(O)cc1O
-2.59,CCCCC(=O)CCCC
-2.6,CC1(C)C(=O)N(Cl)C(=O)N1Cl
-2.6,Cc1ccc(C(=O)O)cc1
-2.61,O=C1NC(=O)c2ccccc21
-2.63,CC[C@@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccccc12
-2.63,CCC(Cl)CC
-2.64,CCC1(C2=C[C@@H]3CC[C@H](C2)C3)C(=O)NC(=O)NC1=O
-2.64,CCC1(c2ccccc2)C(=O)NCNC1=O
-2.67,CCCOC(=O)c1ccccc1
-2.68,NS(=O)(=O)c1cc2c(cc1Cl)N[C@@H](C(Cl)Cl)NS2(=O)=O
-2.68,CCC(Br)(CC)C(=O)NC(N)=O
-2.7,O=C1C=C2C[C@@]3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
-2.7,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
-2.71,S=c1cnc2cncnc2[nH]1
-2.75,CCCCCCCCN
-2.77,CCc1ccccc1
-2.77,Cc1ccc(C)cc1
-2.78,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O
-2.78,Ic1ccccc1
-2.8,O=C(O)c1ccc([N+](=O)[O-])cc1
-2.82,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1
-2.82,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
-2.82,C=Cc1ccccc1
-2.85,O=C(c1ccccc1)[C@@H](O)c1ccccc1
-2.86,Cc1cc(Cl)ccc1/N=C\N(C)C
-2.88,CNc1ccccc1C(=O)O
-2.92,c1ccc(NNc2ccccc2)cc1
-2.96,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
-2.97,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@@H]1CC[C@]2(O)C(=O)CO
-2.98,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21
-2.99,C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@]3(C)[C@@H]2CC[C@]3(O)C(=O)CO)[C@]2(C)C=CC(=O)C=C12
-3.03,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1
-3.03,CC1=CC(=O)c2ccccc2C1=O
-3.04,FC(F)(Cl)C(F)(Cl)Cl
-3.04,Clc1cccc(Cl)c1
-3.04,c1ccc2c(c1)CCC2
-3.08,CC(=O)Nc1ccc(Br)cc1
-3.08,Cc1ccc(Cl)cc1
-3.08,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl
-3.1,C1CCCCC1
-3.12,O=C(c1ccccc1)c1ccccc1
-3.12,Nc1cnn(-c2ccccc2)c(=O)c1Br
-3.16,CC(C)CCOC(=O)c1ccccc1O
-3.17,CCCCCCCCC=O
-3.19,Cc1ccc(Br)cc1
-3.19,Clc1ccccc1Br
-3.21,C[C@@H]1O[C@@H](O[C@@H]2/C=C\C=C/C=C\C=C/C[C@@H](C)OC(=O)/C=C\[C@H]3O[C@@H]3C[C@H](O)C[C@]3(O)C[C@H](O)[C@H](C(=O)O)[C@H](C2)O3)[C@H](O)[C@H](N)[C@@H]1O
-3.21,C[C@@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@@H]1CC[C@]2(O)C(=O)CO
-3.22,O=C1NCCN1c1ncc([N+](=O)[O-])s1
-3.24,C=CCC(C)C
-3.27,Clc1ccc(Cl)cc1
-3.27,CC(=O)CCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O
-3.28,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@@H]3[C@H]1C5
-3.29,CC[C@@H]1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1
-3.3,CCCCCCCCOC(N)=O
-3.35,CCCCN(CC)C(=O)SCCC
-3.38,CC[C@@H](C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
-3.38,CC(C)OC(=O)Nc1cccc(Cl)c1
-3.39,CCCCCCCC(=O)OCC
-3.4,CCSC(=O)N(CC)C1CCCCC1
-3.46,O=C(/C=C\C=C/c1ccc2c(c1)OCO2)N1CCCCC1
-3.46,Ic1[nH]c(I)c(I)c1I
-3.54,Brc1cccc(Br)c1
-3.54,CC(C)c1ccc(NC(=O)N(C)C)cc1
-3.55,CCCCCCCCCCC(=O)O
-3.59,C[C@]12C[C@H](O)[C@H]3[C@@H](CC[C@@H]4C[C@H](O)CC[C@]34C)[C@H]1CCC2=O
-3.62,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
-3.66,COc1c2occc2cc2ccc(=O)oc12
-3.66,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O
-3.66,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
-3.66,CC(C)(C)c1ccccc1
-3.67,c1ccc2nc3ccccc3cc2c1
-3.68,CCC(C)CC
-3.68,CCSC(=O)N(CC(C)C)CC(C)C
-3.68,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
-3.68,Cc1ccc2nc(-c3ccc(N)cc3)sc2c1
-3.7,CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1
-3.7,Cc1cccc2ccccc12
-3.74,CC(C)(C)c1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
-3.75,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H](C(=O)CO)CC[C@H]12
-3.76,Clc1cccc(C(Cl)(Cl)Cl)n1
-3.77,Cc1ccc(C(C)C)cc1
-3.77,C[C@@H]1C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@@]2(C)[C@@]1(O)C(=O)CO
-3.78,Cc1cccc(Nc2ccccc2C(=O)O)c1C
-3.8,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
-3.8,CCCCCCCCC(=O)OCC
-3.8,CC(C)C1=CC2=CC[C@@H]3[C@@](C)(C(=O)O)CCC[C@@]3(C)[C@H]2CC1
-3.8,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F
-3.82,C/C=C\CCCC
-3.84,CCCCCC
-3.85,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@H]2C[C@@]3([C@H](O)O2)[C@H](C(=O)CO)CC[C@H]13
-3.85,CC1CCCCC1
-3.88,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
-3.89,CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O
-3.9,CN(C)C(=S)SSC(=S)N(C)C
-3.9,C#C[C@@H](C)N(C)C(=O)Nc1ccc(Cl)cc1
-3.94,CN1c2ccccc2Sc2ccc(CC(=O)O)cc21
-3.95,C[C@@H](CCC(=O)O)[C@@H]1CC[C@@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@@]4(C)[C@H]3C[C@@H](O)[C@@]12C
-3.96,c1ccc(Oc2ccccc2)cc1
-3.99,CCCCCCCCl
-3.99,C[C@@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H]1CC[C@]2(C)O
-4.0,Cc1cc(C)c(C)c(C)c1C
-4.0,CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@@]4(C)[C@H]3C(=O)C[C@]21C
-4.0,Clc1cccc(Cl)c1Cl
-4.04,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
-4.06,CCCCc1ccccc1
-4.07,Brc1ccc(Br)cc1
-4.1,CSc1nc(NC(C)C)nc(NC(C)C)n1
-4.11,CCOP(=S)(OCC)SCSCC
-4.11,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2cc3c(cc2CCN1C)OCO3
-4.13,CC(=O)OCC(=O)[C@@]1(O)[C@H](OC(C)=O)C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C
-4.15,C1CCCCCCC1
-4.16,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
-4.17,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1
-4.23,ClC(Cl)=CC(Cl)=C(Cl)Cl
-4.26,C[C@H](CN1c2ccccc2Sc2ccccc21)N(C)C
-4.28,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@@]2(C)[C@H]2CC[C@]3(C)[C@H](CC[C@@]34CCC(=O)O4)[C@@H]21
-4.28,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
-4.29,C[C@@H](CCC(=O)O)[C@@H]1CC[C@H]2[C@H]3[C@@H](O)C[C@H]4C[C@@H](O)CC[C@]4(C)[C@@H]3CC[C@]12C
-4.29,CCc1ccc2ccccc2c1
-4.3,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]21C
-4.3,CN(C)CCCN1c2ccccc2Sc2ccccc21
-4.31,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1Cl
-4.32,CC1(C)O[C@@H]2C[C@@H]3[C@@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@@]4(F)[C@@H](O)C[C@@]3(C)[C@@]2(C(=O)CO)O1
-4.38,c1ccc2c(c1)sc1ccccc12
-4.38,O[C@](c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl
-4.42,C=C(C)[C@@H]1Cc2c(ccc3c2O[C@H]2COc4cc(OC)c(OC)cc4[C@H]2C3=O)O1
-4.43,CC[C@H](c1ccc(O)cc1)[C@@H](CC)c1ccc(O)cc1
-4.43,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
-4.43,CCCCCCCBr
-4.46,CN(C)CCC=C1c2ccccc2CCc2ccccc21
-4.47,CC(=O)Oc1c(C(C)(C)C)cc([N+](=O)[O-])c(C)c1[N+](=O)[O-]
-4.48,Clc1cc(Cl)cc(Cl)c1
-4.48,C[C@H]1CCC(C)(C)C1
-4.52,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
-4.53,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1
-4.58,CC(C)(C)C(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
-4.61,O=c1oc(-c2ccccc2)nc2ccccc12
-4.62,c1ccc(CCc2ccccc2)cc1
-4.63,CC(=O)OCC(=O)[C@@H]1CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@@]12C
-4.65,CC(=O)[C@@H]1CC[C@@H]2[C@@H]3CC=C4C[C@H](O)CC[C@@]4(C)[C@H]3CC[C@@]12C
-4.72,Cc1cc2ccccc2cc1C
-4.73,Oc1c2ccccc2cc2ccccc12
-4.79,C#C[C@@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@@H]3CC[C@]21C
-4.82,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl
-4.84,C[C@@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@H]1CC[C@@H]2O
-4.88,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C
-4.89,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
-4.89,Cc1ccc2cc(C)ccc2c1
-4.91,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
-5.16,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]
-5.2,Clc1ccc(-c2ccccc2)cc1
-5.21,CCCCCCc1ccccc1
-5.24,C[C@@]12CCc3c(ccc4cc(O)ccc34)[C@H]1CCC2=O
-5.24,CC(C)=C[C@@H]1[C@@H](C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C
-5.26,c1ccc2c(c1)ccc1ccccc12
-5.38,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1
-5.46,O[C@@H]1C=C[C@@H]2[C@@H]1[C@]1(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C1(Cl)Cl
-5.64,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
-5.68,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
-5.74,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
-5.8,Clc1cccc(-c2cccc(Cl)c2)c1
-5.89,Cc1c2ccccc2cc2ccccc12
-5.96,c1cc2c3c(ccc4c3c1CCC4)CCC2
-6.02,Clc1ccc(Cl)c(-c2ccccc2Cl)c1
-6.09,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
-6.18,ClC1=C(Cl)[C@@]2(Cl)[C@@H]3[C@H]([C@@H]4C[C@H]3[C@H]3O[C@H]43)[C@@]1(Cl)C2(Cl)Cl
-6.21,Clc1ccc(-c2ccc(Cl)cc2Cl)cc1
-6.29,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H]4O[C@H]4[C@@H](Cl)[C@@H]3[C@]1(Cl)C2(Cl)Cl
-6.29,CC1(C)[C@@H](C=C(Cl)Cl)[C@H]1C(=O)OCc1cccc(Oc2ccccc2)c1
-6.29,Clc1ccc(Cl)c(-c2ccccc2)c1Cl
-6.32,ClC1=C(Cl)[C@]2(Cl)[C@H]3[C@H](Cl)C=C[C@H]3[C@]1(Cl)C2(Cl)Cl
-6.51,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1
-6.62,Clc1ccc([C@@H](c2ccccc2Cl)C(Cl)(Cl)Cl)cc1
-6.7,Cc1cc(O)ccc1O[P@](=O)(Oc1cc(O)ccc1C)Oc1c(C)cccc1O
-6.81,CCCCCCCCCCCCCCCC(=O)O
-6.89,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
-6.96,CCCC[C@H](CC)COC(=O)c1ccccc1C(=O)OC[C@@H](CC)CCCC
-7.0,Clc1ccc(Cl)c(-c2cc(Cl)ccc2Cl)c1
-7.05,Clc1cccc(-c2ccc(Cl)c(Cl)c2Cl)c1Cl
-7.16,Clc1cc(-c2ccccc2)c(Cl)c(Cl)c1Cl
-7.26,CCCCCCCCCCCCCCCCO
-7.33,ClC1=C(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C=C[C@@H](C4)[C@@H]3[C@@]1(Cl)C2(Cl)Cl
-7.8,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31
-7.91,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)c1
-8.04,c1ccc2c(c1)Cc1cc3ccccc3cc1-2
-8.06,c1ccc2c(c1)ccc1c3ccccc3ccc21
-8.3,Clc1ccc(-c2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-8.32,Clc1cc(Cl)c(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl
-8.42,Clc1cccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1Cl
-8.49,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
-8.6,c1ccc2cc3cc4ccccc4cc3cc2c1
-8.65,Clc1ccc(Cl)c(-c2c(Cl)ccc(Cl)c2Cl)c1Cl
-8.66,c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12
-9.03,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
-10.26,Clc1cc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
-10.41,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1Cl
